P1,P2,P3,P4,P5
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la tomas asi nomas,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la hierves antes de tomar,SI
SI,SI,Si,la usas para cocinar,SI
SI,SI,Si,la usas para cocinar,SI
Si pero hay muchos problemas con el proveedor del servicio,SI,Si,la usas para cocinar,SI
Si pero hay muchos problemas con el proveedor del servicio,SI,Si,la usas para cocinar,SI
Si pero hay muchos problemas con el proveedor del servicio,SI,Si,la usas para cocinar,NO
Si pero hay muchos problemas con el proveedor del servicio,SI,Si,la usas para cocinar,SI
Si pero hay muchos problemas con el proveedor del servicio,SI,Si,no la tomas nunca,SI
Si pero hay muchos problemas con el proveedor del servicio,NO,Si,no la tomas nunca,SI
Si pero hay muchos problemas con el proveedor del servicio,NO,Si,no la tomas nunca,SI
Si pero hay muchos problemas con el proveedor del servicio,NO,No (tengo otro tipo de banos como ecologicos),no la tomas nunca,SI
No,NO,No (no tengo bano en la casa),no la tomas nunca,NO
